NO,ID,OT,latitude,longitude,DEPTH,MAG,ML,MC,MW,NST,RMS,GAP,lat_e,long_e,dp_e,L,FELT, STRIKE, DIP, RAKE
982,01-0511-20L.S202302,2023-01-31 23:11,  14.080,  -89.840,   4.0,  1.4,  1.4,     ,     ,   9, 0.11,    ,      ,      ,      , L  ,-,      ,      ,     
983,01-0520-29L.S202302,2023-01-31 23:20,  14.070,  -89.840,   5.0,  1.7,  1.7,     ,     ,   8, 0.11,    ,      ,      ,      , L  ,-,      ,      ,     
984,01-0612-32L.S202302,2023-02-01 00:12,  14.040,  -89.790,  13.0,  2.5,  2.5,     ,     ,  18, 1.72,    ,      ,      ,      , L  ,-,      ,      ,     
985,01-0612-33L.S202302,2023-02-01 00:12,  14.037,  -89.789,  13.1,  2.4,  2.4,     ,     ,  10, 1.72, 67 ,  1.7 ,  2.1 , 3.4  , L  ,-,      ,      ,     
986,01-0624-38L.S202302,2023-02-01 00:24,  14.110,  -89.840,   1.0,  1.8,  1.8,     ,     ,  12, 0.21,    ,      ,      ,      , L  ,-,      ,      ,     
987,01-0639-32L.S202302,2023-02-01 00:39,  14.060,  -89.830,   3.0,  1.4,  1.4,     ,     ,  10, 0.14,    ,      ,      ,      , L  ,-,      ,      ,     
988,01-0725-21L.S202302,2023-02-01 01:25,  14.730,  -92.840,  12.0,  3.5,  3.5,     ,     ,  20, 0.72,    ,      ,      ,      , L  ,-,      ,      ,     
989,01-0733-38L.S202302,2023-02-01 01:33,  14.053,  -89.831,   0.0,  3.5,  3.5,     ,     ,  25, 0.64, 57 ,  1.1 ,  1.1 , 0.0  , L  ,-,      ,      ,     
990,01-0733-39L.S202302,2023-02-01 01:33,  14.050,  -89.827,   6.1,  3.7,     ,  3.7,     ,  25,  0.9,  57,   3.0,   2.7,   4.4, L  ,0,      ,      ,     
991,01-0734-33L.S202302,2023-02-01 01:34,  14.040,  -89.850,  17.0,  2.2,  2.2,     ,     ,   6, 0.87,    ,      ,      ,      , L  ,-,      ,      ,     
992,01-0735-41L.S202302,2023-02-01 01:35,  14.050,  -89.830,   0.0,  2.1,  2.1,     ,     ,  15, 0.54,    ,      ,      ,      , L  ,-,      ,      ,     
993,01-0752-46L.S202302,2023-02-01 01:52,  14.080,  -89.810,   0.0,  1.7,  1.7,     ,     ,  14, 1.17,    ,      ,      ,      , L  ,-,      ,      ,     
994,01-0759-00L.S202302,2023-02-01 01:59,  14.060,  -89.820,   3.0,  1.5,  1.5,     ,     ,   9, 0.15,    ,      ,      ,      , L  ,-,      ,      ,     
995,01-0759-51L.S202302,2023-02-01 01:59,  14.060,  -89.830,   5.0,  1.7,  1.7,     ,     ,   4, 0.00,    ,      ,      ,      , L  ,-,      ,      ,     
996,01-0800-06L.S202302,2023-02-01 02:00,  14.060,  -89.830,   3.0,  1.6,  1.6,     ,     ,   8, 0.12,    ,      ,      ,      , L  ,-,      ,      ,     
997,01-0804-13L.S202302,2023-02-01 02:04,  14.050,  -89.850,   4.0,  1.5,  1.5,     ,     ,   8, 0.06,    ,      ,      ,      , L  ,-,      ,      ,     
998,01-0805-14L.S202302,2023-02-01 02:05,  14.050,  -89.840,   4.0,  1.5,  1.5,     ,     ,   8, 0.02,    ,      ,      ,      , L  ,-,      ,      ,     
999,01-0805-43L.S202302,2023-02-01 02:05,  14.050,  -89.850,   2.0,  1.4,  1.4,     ,     ,   6, 0.21,    ,      ,      ,      , L  ,-,      ,      ,     
1000,01-0808-46L.S202302,2023-02-01 02:08,  14.060,  -89.830,   4.0,  1.5,  1.5,     ,     ,   7, 0.11,    ,      ,      ,      , L  ,-,      ,      ,     
1001,01-0815-00L.S202302,2023-02-01 02:14,  14.058,  -89.791,   1.5,  1.8,     ,  1.8,     ,   3,  0.6, 176,   2.8,   9.5, 240.1, L  ,-,      ,      ,     
1002,01-0832-25L.S202302,2023-02-01 02:32,  14.030,  -89.860,   5.0,  1.4,  1.4,     ,     ,   8, 0.05,    ,      ,      ,      , L  ,-,      ,      ,     
1003,01-0846-15L.S202302,2023-02-01 02:46,  14.040,  -89.840,   6.0,  1.5,  1.5,     ,     ,   6, 0.06,    ,      ,      ,      , L  ,-,      ,      ,     
1004,01-0920-50L.S202302,2023-02-01 03:20,  14.040,  -89.860,   4.0,  1.4,  1.4,     ,     ,   8, 0.09,    ,      ,      ,      , L  ,-,      ,      ,     
1005,01-1047-39L.S202302,2023-02-01 04:47,  14.060,  -89.800,   2.0,  1.8,  1.8,     ,     ,  12, 0.53,    ,      ,      ,      , L  ,-,      ,      ,     
1006,01-1246-34L.S202302,2023-02-01 06:46,  14.040,  -89.850,   5.0,  2.0,  2.0,     ,     ,   7, 0.18,    ,      ,      ,      , L  ,-,      ,      ,     
1007,01-1544-38L.S202302,2023-02-01 09:44,  14.038,  -89.899,  13.0,  2.1,     ,  2.1,     ,   6,  0.4, 164,   4.2,   5.0,   4.7, L  ,-,      ,      ,     
1008,01-1632-18L.S202302,2023-02-01 10:32,  14.101,  -89.885,   5.3,  2.3,  2.3,  2.5,     ,  11,  0.6,  87,   2.2,   2.6,   2.4, L  ,-,      ,      ,     
1009,01-1816-59L.S202302,2023-02-01 12:16,  14.032,  -89.875,   8.4,  1.9,     ,  1.9,     ,   5,  0.6, 221,   3.7,   6.6,   7.5, L  ,-,      ,      ,     
1010,01-2310-57L.S202302,2023-02-01 17:10,  14.000,  -89.990,   0.0,  4.7,  4.7,     ,     ,  91, 0.83,    ,      ,      ,      , L  ,1,      ,      ,     
1011,01-2327-07L.S202302,2023-02-01 17:27,  15.560,  -90.030,   0.0,  4.2,  4.2,     ,     ,  45, 0.85,    ,      ,      ,      , L  ,1,      ,      ,     
1012,02-0130-00L.S202302,2023-02-01 19:30,  14.050,  -89.860,   2.0,  2.0,  2.0,     ,     ,  15, 0.21,    ,      ,      ,      , L  ,-,      ,      ,     
1013,02-0205-15L.S202302,2023-02-01 20:05,  14.060,  -89.830,   4.0,  1.6,  1.6,     ,     ,  12, 0.15,    ,      ,      ,      , L  ,-,      ,      ,     
1014,02-0248-33L.S202302,2023-02-01 20:48,  14.040,  -89.850,   3.0,  1.9,  1.9,     ,     ,  11, 0.08,    ,      ,      ,      , L  ,-,      ,      ,     
1015,02-0248-34L.S202302,2023-02-01 20:48,  14.039,  -89.853,   2.7,  1.9,  1.9,     ,     ,   6, 0.08, 122,   1.8,   3.6,  3.7 , L  ,-,      ,      ,     
1016,02-0301-41L.S202302,2023-02-01 21:01,  15.214,  -88.804,   0.0,  3.2,  3.2,     ,     ,  16, 1.15, 108,   1.3,   1.8,  0.0 , L  ,-,      ,      ,     
1017,02-0309-31L.S202302,2023-02-01 21:09,  14.070,  -89.850,   4.0,  1.8,  1.8,     ,     ,  11, 0.15,    ,      ,      ,      , L  ,-,      ,      ,     
1018,02-0410-05L.S202302,2023-02-01 22:10,  14.035,  -89.858,   6.0,  1.9,  1.9,  1.9,     ,   4,  0.4, 197,   7.2,  11.2,  12.1, L  ,-,      ,      ,     
1019,02-0417-06L.S202302,2023-02-01 22:17,  14.080,  -89.890,   4.0,  2.6,  2.6,     ,     ,  15, 0.32,    ,      ,      ,      , L  ,-,      ,      ,     
1020,02-0441-41L.S202302,2023-02-01 22:41,  14.090,  -89.890,   1.0,  2.4,  2.4,     ,     ,   9, 0.13,    ,      ,      ,      , L  ,-,      ,      ,     
1021,02-0447-55L.S202302,2023-02-01 22:47,  14.080,  -89.840,   1.0,  1.8,  1.8,     ,     ,   8, 0.13,    ,      ,      ,      , L  ,-,      ,      ,     
1022,02-0658-27L.S202302,2023-02-02 00:58,  13.900,  -91.340,  18.0,  2.7,  2.7,     ,     ,  13, 1.48,    ,      ,      ,      , L  ,-,      ,      ,     
1023,02-0719-58L.S202302,2023-02-02 01:19,  14.070,  -89.850,   3.0,  1.7,  1.7,     ,     ,   8, 0.12,    ,      ,      ,      , L  ,-,      ,      ,     
1024,02-0727-46L.S202302,2023-02-02 01:27,  14.160,  -89.840,   2.0,  2.4,  2.4,     ,     ,   8, 0.64,    ,      ,      ,      , L  ,-,      ,      ,     
1025,02-0756-07L.S202302,2023-02-02 01:56,  13.600,  -90.450,  24.0,  2.7,  2.7,     ,     ,  14, 0.90,    ,      ,      ,      , L  ,-,      ,      ,     
1026,02-0800-12L.S202302,2023-02-02 02:00,  14.060,  -89.870,   1.0,  2.4,  2.4,     ,     ,  13, 0.22,    ,      ,      ,      , L  ,-,      ,      ,     
1027,02-0829-31L.S202302,2023-02-02 02:29,  14.530,  -92.040,  15.0,  3.4,  3.4,     ,     ,  17, 0.62,    ,      ,      ,      , L  ,-,      ,      ,     
1028,02-0922-50L.S202302,2023-02-02 03:22,  14.080,  -89.840,   1.0,  2.0,  2.0,     ,     ,  13, 0.18,    ,      ,      ,      , L  ,-,      ,      ,     
1029,02-0936-43L.S202302,2023-02-02 03:36,  14.070,  -89.770,   6.0,  1.9,  1.9,     ,     ,  10, 0.58,    ,      ,      ,      , L  ,-,      ,      ,     
1030,02-0950-48L.S202302,2023-02-02 03:50,  14.050,  -89.850,   1.0,  1.9,  1.9,     ,     ,  16, 0.43,    ,      ,      ,      , L  ,-,      ,      ,     
1031,02-1043-33L.S202302,2023-02-02 04:43,  14.510,  -88.250,   9.0,  2.9,  2.9,     ,     ,  15, 1.38,    ,      ,      ,      , L  ,-,      ,      ,     
1032,02-1235-08L.S202302,2023-02-02 06:35,  14.070,  -89.855,   0.6,  2.1,  2.1,     ,     ,   8, 0.08, 81 ,  3.1 ,  3.1 , 6.6  , L  ,-,      ,      ,     
1033,02-1858-07L.S202302,2023-02-02 12:58,  14.050,  -89.840,   2.0,  1.9,  1.9,     ,     ,   7, 0.31,    ,      ,      ,      , L  ,-,      ,      ,     
1034,02-1917-03L.S202302,2023-02-02 13:17,  13.980,  -90.020,   4.0,  2.2,  2.2,     ,     ,  12, 0.19,    ,      ,      ,      , L  ,-,      ,      ,     
1035,02-2238-03L.S202302,2023-02-02 16:38,  14.960,  -91.980,  16.0,  3.0,  3.0,     ,     ,  11, 0.60,    ,      ,      ,      , L  ,-,      ,      ,     
1036,03-0409-39L.S202302,2023-02-02 22:09,  14.080,  -89.840,   3.0,  1.6,  1.6,     ,     ,  12, 0.20,    ,      ,      ,      , L  ,-,      ,      ,     
1037,03-0435-33L.S202302,2023-02-02 22:35,  14.070,  -89.826,   1.1,  1.8,     ,  1.8,     ,   5,  0.6, 125,   2.7,   6.7,  54.0, L  ,-,      ,      ,     
1038,03-0450-41L.S202302,2023-02-02 22:50,  14.080,  -89.830,   3.0,  1.6,  1.6,     ,     ,   8, 0.23,    ,      ,      ,      , L  ,-,      ,      ,     
1039,03-0458-42L.S202302,2023-02-02 22:58,  12.124,  -88.384,   0.0,  3.7,  3.7,     ,     ,  10, 0.99, 253,   6.0,   3.1,  0.0 , L  ,-,      ,      ,     
1040,03-0539-01L.S202302,2023-02-02 23:39,  14.040,  -89.860,   6.0,  1.6,  1.6,     ,     ,   7, 0.11,    ,      ,      ,      , L  ,-,      ,      ,     
1041,03-0558-37L.S202302,2023-02-02 23:58,  14.080,  -89.710,   4.0,  3.1,  3.1,     ,     ,  34, 0.29,    ,      ,      ,      , L  ,-,      ,      ,     
1042,03-0615-39L.S202302,2023-02-03 00:15,  13.110,  -89.310,  15.0,  2.7,  2.7,     ,     ,  13, 0.40,    ,      ,      ,      , L  ,-,      ,      ,     
1043,03-0652-55L.S202302,2023-02-03 00:52,  14.060,  -89.830,   6.0,  1.5,  1.5,     ,     ,   8, 0.03,    ,      ,      ,      , L  ,-,      ,      ,     
1044,03-0824-34L.S202302,2023-02-03 02:24,  14.091,  -89.837,   6.1,  3.5,     ,  3.5,     ,  23,  0.8,  62,   2.3,   1.9,   5.9, L  ,0,      ,      ,     
1045,03-0824-35L.S202302,2023-02-03 02:24,  14.059,  -89.826,   0.0,  3.2,  3.2,     ,     ,   8, 0.93, 75 ,  1.6 ,  1.7 , 0.0  , L  ,-,      ,      ,     
1046,03-0859-34L.S202302,2023-02-03 02:59,  14.070,  -89.840,   3.0,  2.0,  2.0,     ,     ,  19, 0.22,    ,      ,      ,      , L  ,-,      ,      ,     
1047,03-1024-13L.S202302,2023-02-03 04:24,  14.070,  -89.840,   4.0,  1.6,  1.6,     ,     ,  11, 0.16,    ,      ,      ,      , L  ,-,      ,      ,     
1048,03-1120-30L.S202302,2023-02-03 05:20,  15.991,  -88.385,   7.3,  3.8,     ,  3.8,     ,   7,  0.7, 215,   7.4,   6.6,  16.0, L  ,-,      ,      ,     
1049,03-1132-01L.S202302,2023-02-03 05:32,  13.005,  -90.277,  19.6,  3.8,     ,  3.8,     ,  13,  0.9, 261,   9.2,   8.1,   9.4, L  ,0,      ,      ,     
1050,03-1625-47L.S202302,2023-02-03 10:25,  14.078,  -89.798,   6.0,  1.7,     ,  1.7,     ,   7,  0.7,  95,   3.5,   4.4,   4.8, L  ,-,      ,      ,     
1051,03-1759-09L.S202302,2023-02-03 11:59,  14.140,  -89.920,   6.0,  2.2,  2.2,     ,     ,   9, 0.59,    ,      ,      ,      , L  ,-,      ,      ,     
1052,03-1803-23L.S202302,2023-02-03 12:03,  14.063,  -89.845,   7.1,  1.8,  1.5,  1.8,     ,   5,  0.3, 155,   1.8,   4.2,   5.4, L  ,-,      ,      ,     
1053,03-2308-35L.S202302,2023-02-03 17:08,  14.070,  -89.850,   4.0,  2.0,  2.0,     ,     ,   7, 0.04,    ,      ,      ,      , L  ,-,      ,      ,     
1054,04-0156-50L.S202302,2023-02-03 19:56,  14.070,  -89.840,   4.0,  2.3,  2.3,     ,     ,  13, 0.23,    ,      ,      ,      , L  ,-,      ,      ,     
1055,04-0257-12L.S202302,2023-02-03 20:57,  14.070,  -89.850,   6.0,  1.8,  1.8,     ,     ,   7, 0.13,    ,      ,      ,      , L  ,-,      ,      ,     
1056,04-0547-48L.S202302,2023-02-03 23:47,  14.060,  -90.650,  21.0,  3.5,  3.5,     ,     ,  12, 3.74,    ,      ,      ,      , L  ,-,      ,      ,     
1057,04-0638-16L.S202302,2023-02-04 00:38,  14.072,  -89.763,   4.4,  2.3,  2.3,     ,     ,   7, 0.47, 123,   1.8,   3.5,  4.5 , L  ,-,      ,      ,     
1058,04-0646-16L.S202302,2023-02-04 00:46,  14.070,  -89.810,   3.0,  2.4,  2.4,     ,     ,  19, 0.21,    ,      ,      ,      , L  ,-,      ,      ,     
1059,04-0646-17L.S202302,2023-02-04 00:46,  14.066,  -89.808,   3.2,  2.8,  2.8,     ,     ,   8, 0.21, 117,   1.6,   3.2,  2.9 , L  ,-,      ,      ,     
1060,04-0708-12L.S202302,2023-02-04 01:08,  13.770,  -92.200,   7.0,  3.2,  3.2,     ,     ,  15, 0.30,    ,      ,      ,      , L  ,-,      ,      ,     
1061,04-0758-48L.S202302,2023-02-04 01:58,  14.060,  -89.790,   5.0,  2.1,  2.1,     ,     ,  10, 0.10,    ,      ,      ,      , L  ,-,      ,      ,     
1062,04-0801-08L.S202302,2023-02-04 02:01,  14.070,  -89.840,   2.0,  3.0,  3.0,     ,     ,  28, 0.24,    ,      ,      ,      , L  ,-,      ,      ,     
1063,04-0804-46L.S202302,2023-02-04 02:04,  14.070,  -89.840,   4.0,  2.2,  2.2,     ,     ,   8, 0.15,    ,      ,      ,      , L  ,-,      ,      ,     
1064,04-0911-33L.S202302,2023-02-04 03:11,  14.130,  -92.250,   9.0,  3.1,  3.1,     ,     ,  20, 0.54,    ,      ,      ,      , L  ,-,      ,      ,     
1065,04-0933-51L.S202302,2023-02-04 03:33,  14.070,  -89.860,   4.0,  2.5,  2.5,     ,     ,  16, 0.08,    ,      ,      ,      , L  ,-,      ,      ,     
1066,04-0949-47L.S202302,2023-02-04 03:49,  14.070,  -89.850,   3.0,  2.2,  2.2,     ,     ,  11, 0.07,    ,      ,      ,      , L  ,-,      ,      ,     
1067,04-1010-27L.S202302,2023-02-04 04:10,  14.100,  -89.860,   6.0,  2.8,  2.8,     ,     ,  17, 0.27,    ,      ,      ,      , L  ,-,      ,      ,     
1068,04-1132-24L.S202302,2023-02-04 05:32,  14.100,  -89.780,   9.0,  2.2,  2.2,     ,     ,   8, 0.07,    ,      ,      ,      , L  ,-,      ,      ,     
1069,04-1220-02L.S202302,2023-02-04 06:20,  14.080,  -89.730,   5.0,  2.4,  2.4,     ,     ,   9, 0.07,    ,      ,      ,      , L  ,-,      ,      ,     
1070,04-1222-01L.S202302,2023-02-04 06:22,  14.080,  -89.710,   3.0,  3.0,  3.0,     ,     ,  29, 0.32,    ,      ,      ,      , L  ,-,      ,      ,     
1071,04-1222-02L.S202302,2023-02-04 06:22,  14.082,  -89.711,   2.7,  3.1,  3.1,     ,     ,  18, 0.32, 55 ,  1.3 ,  1.5 , 1.6  , L  ,-,      ,      ,     
1072,04-1248-45L.S202302,2023-02-04 06:48,  11.864,  -88.296,   0.0,  4.3,  4.3,     ,     ,  10, 0.93, 237,  17.0,   8.0,   0.0, L  ,-,      ,      ,     
1073,04-1635-41L.S202302,2023-02-04 10:35,  12.628,  -88.299,  25.0,  4.9,  4.9,     ,     ,  31, 1.13, 194,   2.8,   1.9,  6.4 , L  ,-,      ,      ,     
1074,04-1750-21L.S202302,2023-02-04 11:50,  14.073,  -89.801,  12.2,  2.4,  2.4,  3.0,     ,   6,  0.4,  95,   2.7,   6.1,   6.6, L  ,-,      ,      ,     
1075,04-1752-26L.S202302,2023-02-04 11:52,  14.023,  -89.731,   5.2,  2.3,  2.3,  3.2,     ,   3,  0.0, 174,   1.7,   3.2,   5.2, L  ,-,      ,      ,     
1076,04-2244-46L.S202302,2023-02-04 16:44,  14.070,  -89.810,   7.0,  2.2,  2.2,     ,     ,   8, 0.22,    ,      ,      ,      , L  ,-,      ,      ,     
1077,05-0214-34L.S202302,2023-02-04 20:14,  14.130,  -89.900,   0.0,  2.3,  2.3,     ,     ,   7, 0.64,    ,      ,      ,      , L  ,-,      ,      ,     
1078,05-0312-47L.S202302,2023-02-04 21:12,  13.600,  -91.370,   0.0,  3.4,  3.4,     ,     ,  11, 1.92,    ,      ,      ,      , L  ,-,      ,      ,     
1079,05-0712-44L.S202302,2023-02-05 01:12,  13.220,  -90.360,  18.0,  3.6,  3.6,     ,     ,  37, 0.49,    ,      ,      ,      , L  ,-,      ,      ,     
1080,05-0730-23L.S202302,2023-02-05 01:30,  14.050,  -89.820,   3.0,  2.3,  2.3,     ,     ,  12, 0.16,    ,      ,      ,      , L  ,-,      ,      ,     
1081,05-0739-27L.S202302,2023-02-05 01:39,  14.050,  -89.870,   1.0,  2.2,  2.2,     ,     ,   9, 0.09,    ,      ,      ,      , L  ,-,      ,      ,     
1082,05-0752-17L.S202302,2023-02-05 01:52,  14.060,  -89.800,   3.0,  2.0,  2.0,     ,     ,  10, 0.20,    ,      ,      ,      , L  ,-,      ,      ,     
1083,05-0757-56L.S202302,2023-02-05 01:57,  14.070,  -89.830,   5.0,  1.9,  1.9,     ,     ,  10, 0.09,    ,      ,      ,      , L  ,-,      ,      ,     
1084,05-0814-26L.S202302,2023-02-05 02:14,  14.050,  -89.790,   4.0,  2.3,  2.3,     ,     ,  10, 0.17,    ,      ,      ,      , L  ,-,      ,      ,     
1085,05-0827-06L.S202302,2023-02-05 02:27,  14.060,  -89.830,   3.0,  2.9,  2.9,     ,     ,  25, 0.36,    ,      ,      ,      , L  ,-,      ,      ,     
1086,05-0838-20L.S202302,2023-02-05 02:38,  14.060,  -89.840,   3.0,  2.3,  2.3,     ,     ,  12, 0.21,    ,      ,      ,      , L  ,-,      ,      ,     
1087,05-0854-12L.S202302,2023-02-05 02:54,  14.050,  -89.840,   3.0,  2.1,  2.1,     ,     ,  10, 0.10,    ,      ,      ,      , L  ,-,      ,      ,     
1088,05-0855-45L.S202302,2023-02-05 02:55,  14.080,  -89.730,   4.0,  2.6,  2.6,     ,     ,  10, 0.24,    ,      ,      ,      , L  ,-,      ,      ,     
1089,05-1113-50L.S202302,2023-02-05 05:13,  14.080,  -89.800,   3.0,  1.9,  1.9,     ,     ,   9, 0.19,    ,      ,      ,      , L  ,-,      ,      ,     
1090,05-1730-34L.S202302,2023-02-05 11:30,  14.080,  -89.880,   2.0,  2.5,  2.5,     ,     ,   9, 0.15,    ,      ,      ,      , L  ,-,      ,      ,     
1091,05-1838-08L.S202302,2023-02-05 12:38,  15.400,  -92.220,  22.0,  2.9,  2.9,     ,     ,  16, 0.33,    ,      ,      ,      , L  ,-,      ,      ,     
1092,05-1902-26L.S202302,2023-02-05 13:02,  15.040,  -91.910,   0.0,  3.0,  3.0,     ,     ,  21, 0.39,    ,      ,      ,      , L  ,-,      ,      ,     
1093,06-0452-05L.S202302,2023-02-05 22:52,  14.060,  -89.910,   4.0,  2.5,  2.5,     ,     ,  12, 0.65,    ,      ,      ,      , L  ,-,      ,      ,     
1094,06-1028-52L.S202302,2023-02-06 04:28,  14.060,  -89.810,   1.0,  1.8,  1.8,     ,     ,  10, 0.53,    ,      ,      ,      , L  ,-,      ,      ,     
1095,06-2124-14L.S202302,2023-02-06 15:24,  14.080,  -89.840,   6.0,  2.2,  2.2,     ,     ,   9, 0.14,    ,      ,      ,      , L  ,-,      ,      ,     
1096,07-0430-52L.S202302,2023-02-06 22:30,  14.070,  -89.920,   4.0,  1.9,  1.9,     ,     ,  14, 0.51,    ,      ,      ,      , L  ,-,      ,      ,     
1097,07-0459-50L.S202302,2023-02-06 22:59,  13.120,  -91.580,   6.0,  3.6,  3.6,     ,     ,  29, 1.41,    ,      ,      ,      , L  ,-,      ,      ,     
1098,07-0643-44L.S202302,2023-02-07 00:43,  13.940,  -91.580,   8.0,  2.8,  2.8,     ,     ,  18, 0.62,    ,      ,      ,      , L  ,-,      ,      ,     
1099,07-0914-06L.S202302,2023-02-07 03:14,  14.100,  -89.880,   1.0,  2.3,  2.3,     ,     ,  26, 0.50,    ,      ,      ,      , L  ,-,      ,      ,     
1100,07-0917-35L.S202302,2023-02-07 03:17,  14.080,  -89.830,   1.0,  2.1,  2.1,     ,     ,  20, 0.21,    ,      ,      ,      , L  ,-,      ,      ,     
1101,07-0951-17L.S202302,2023-02-07 03:51,  14.080,  -89.830,   2.0,  1.5,  1.5,     ,     ,   9, 0.26,    ,      ,      ,      , L  ,-,      ,      ,     
1102,07-0956-29L.S202302,2023-02-07 03:56,  14.090,  -89.830,   3.0,  1.9,  1.9,     ,     ,   8, 0.16,    ,      ,      ,      , L  ,-,      ,      ,     
1103,07-1214-14L.S202302,2023-02-07 06:14,  14.090,  -89.870,   3.0,  2.2,  2.2,     ,     ,  15, 0.35,    ,      ,      ,      , L  ,-,      ,      ,     
1104,07-1708-51L.S202302,2023-02-07 11:08,  14.060,  -89.850,   5.0,  2.0,  2.0,     ,     ,   7, 0.06,    ,      ,      ,      , L  ,-,      ,      ,     
1105,07-2331-34L.S202302,2023-02-07 17:31,  12.720,  -90.320,   0.0,  3.4,  3.4,     ,     ,  15, 0.56,    ,      ,      ,      , L  ,-,      ,      ,     
1106,07-2331-35L.S202302,2023-02-07 17:31,  12.719,  -90.318,   0.0,  3.4,  3.4,     ,     ,  12, 0.56, 301,  10.0,   6.5,   0.0, L  ,-,      ,      ,     
1107,08-0037-24L.S202302,2023-02-07 18:37,  13.020,  -89.430,  14.0,  3.6,  3.6,     ,     ,  22, 0.41,    ,      ,      ,      , L  ,-,      ,      ,     
1108,08-0037-25L.S202302,2023-02-07 18:37,  13.019,  -89.430,  13.7,  3.6,  3.6,     ,     ,  18, 0.41, 249,   4.7,   3.5,  4.8 , L  ,-,      ,      ,     
1109,08-0447-29L.S202302,2023-02-07 22:47,  14.080,  -89.830,   4.0,  1.5,  1.5,     ,     ,   7, 0.06,    ,      ,      ,      , L  ,-,      ,      ,     
1110,08-0509-55L.S202302,2023-02-07 23:09,  14.070,  -89.850,   6.0,  1.7,  1.7,     ,     ,  10, 0.16,    ,      ,      ,      , L  ,-,      ,      ,     
1111,08-0620-58L.S202302,2023-02-08 00:20,  14.070,  -89.860,   5.0,  1.6,  1.6,     ,     ,   8, 0.06,    ,      ,      ,      , L  ,-,      ,      ,     
1112,08-0628-22L.S202302,2023-02-08 00:28,  11.437,  -86.831,  25.0,  3.8,  3.8,     ,     ,   9, 0.89, 313,  57.4,  32.8,   0.0, L  ,-,      ,      ,     
1113,08-0640-22L.S202302,2023-02-08 00:40,  13.130,  -90.174,  21.6,  3.4,     ,  3.4,     ,  20,  1.1, 240,   9.7,   9.0,   9.9, L  ,-,      ,      ,     
1114,08-0715-23L.S202302,2023-02-08 01:15,  14.095,  -89.811,   9.4,  1.7,     ,  1.7,     ,   4,  0.4, 154,   3.5,   3.7,   4.8, L  ,-,      ,      ,     
1115,08-0734-02L.S202302,2023-02-08 01:34,  13.830,  -91.450,  22.0,  2.8,  2.8,     ,     ,  31, 0.69,    ,      ,      ,      , L  ,-,      ,      ,     
1116,08-0814-11L.S202302,2023-02-08 02:14,  14.040,  -89.720,   2.0,  1.7,  1.7,     ,     ,   6, 0.17,    ,      ,      ,      , L  ,-,      ,      ,     
1117,08-0914-35L.S202302,2023-02-08 03:14,  14.080,  -89.840,   4.0,  1.1,  1.1,     ,     ,   6, 0.03,    ,      ,      ,      , L  ,-,      ,      ,     
1118,08-1051-56L.S202302,2023-02-08 04:51,  14.060,  -89.840,   4.0,  1.9,  1.9,     ,     ,  14, 0.16,    ,      ,      ,      , L  ,-,      ,      ,     
1119,08-1056-11L.S202302,2023-02-08 04:56,  14.070,  -89.830,   5.0,  1.5,  1.5,     ,     ,   7, 0.06,    ,      ,      ,      , L  ,-,      ,      ,     
1120,08-1152-27L.S202302,2023-02-08 05:52,  14.080,  -89.850,   6.0,  2.3,  2.3,     ,     ,   7, 0.11,    ,      ,      ,      , L  ,-,      ,      ,     
1121,08-1304-05L.S202302,2023-02-08 07:04,  14.080,  -89.850,   4.0,  2.3,  2.3,     ,     ,  14, 0.17,    ,      ,      ,      , L  ,-,      ,      ,     
1122,08-1341-22L.S202302,2023-02-08 07:41,  13.660,  -91.080,  19.0,  3.1,  3.1,     ,     ,  16, 0.28,    ,      ,      ,      , L  ,-,      ,      ,     
1123,08-1430-25L.S202302,2023-02-08 08:30,  15.090,  -94.950,  22.0,  4.8,  4.8,     ,     ,  18, 0.91,    ,      ,      ,      , L  ,-,      ,      ,     
1124,08-1516-22L.S202302,2023-02-08 09:16,  16.720,  -86.350,   0.0,  5.8,  5.8,     ,     ,  32, 0.61,    ,      ,      ,      , L  ,-,      ,      ,     
1125,08-1525-42L.S202302,2023-02-08 09:25,  16.750,  -86.500,   0.0,  4.6,  4.6,     ,     ,   8, 0.56,    ,      ,      ,      , L  ,-,      ,      ,     
1126,08-1604-49L.S202302,2023-02-08 10:04,  14.530,  -92.650,  23.0,  4.0,  4.0,     ,     ,  20, 0.42,    ,      ,      ,      , L  ,0,      ,      ,     
1127,08-1655-49L.S202302,2023-02-08 10:55,  14.680,  -90.250,   0.0,  2.4,  2.4,     ,     ,  10, 0.35,    ,      ,      ,      , L  ,-,      ,      ,     
1128,08-2050-12L.S202302,2023-02-08 14:50,  13.090,  -89.640,  12.0,  3.1,  3.1,     ,     ,  10, 0.34,    ,      ,      ,      , L  ,-,      ,      ,     
1129,08-2058-24L.S202302,2023-02-08 14:58,  14.080,  -89.810,  13.0,  2.5,  2.5,     ,     ,   8, 0.74,    ,      ,      ,      , L  ,-,      ,      ,     
1130,08-2058-25L.S202302,2023-02-08 14:58,  14.100,  -89.880,   2.0,  2.4,  2.4,     ,     ,  18, 0.43,    ,      ,      ,      , L  ,-,      ,      ,     
1131,09-0006-25L.S202302,2023-02-08 18:06,  14.070,  -89.830,   2.0,  2.3,  2.3,     ,     ,  13, 0.58,    ,      ,      ,      , L  ,-,      ,      ,     
