NO,ID,OT,latitude,longitude,DEPTH,MAG,ML,MC,MW,NST,RMS,GAP,lat_e,long_e,dp_e,L,FELT, STRIKE, DIP, RAKE
32,05-0504-29R.S202301,2023-01-04 23:04,  14.614,  -89.979,   7.0,  2.7,     ,  2.7,     ,  19,  0.9, 104,   4.8,   3.4,   9.2, R  ,-,      ,      ,     
33,05-0504-30L.S202301,2023-01-04 23:04,  14.617,  -89.975,   2.2,  2.5,  2.5,     ,     ,  14, 0.42, 71 ,  1.6 ,  1.2 , 2.4  , L  ,-,      ,      ,     
34,05-0523-09L.S202301,2023-01-04 23:23,  14.603,  -90.013,  11.5,  3.2,     ,  3.2,     ,  10,  0.6,  98,   3.9,   3.5,   6.5, L  ,-,      ,      ,     
35,05-0530-47L.S202301,2023-01-04 23:30,  14.552,  -89.676,  19.0,  2.1,  2.1,     ,     ,   7, 1.03, 170,   3.2,   4.4,  5.6 , L  ,-,      ,      ,     
36,05-0559-24L.S202301,2023-01-04 23:59,  13.082,  -90.079,   8.2,  2.9,  2.9,     ,     ,  12, 0.44, 285,   4.1,   3.3,  6.8 , L  ,-,      ,      ,     
37,05-0559-25L.S202301,2023-01-04 23:59,  13.202,  -90.128,  25.0,  3.5,     ,  3.5,     ,   7,  0.4, 275,   6.0,   5.5,   6.9, L  ,-,      ,      ,     
38,05-0603-53L.S202301,2023-01-05 00:03,  14.619,  -90.030,  11.4,  2.7,     ,  2.7,     ,   6,  0.6, 139,   1.9,   3.6,   5.3, L  ,-,      ,      ,     
39,05-0716-24L.S202301,2023-01-05 01:16,  14.657,  -89.503,   0.0,  3.5,     ,  3.5,     ,   7,  0.6, 249,   8.6,   9.1,   7.2, L  ,-,      ,      ,     
40,05-0716-25L.S202301,2023-01-05 01:16,  14.710,  -89.342,   0.0,  2.5,  2.5,     ,     ,   5, 0.75, 146,   2.5,   1.8,  0.0 , L  ,-,      ,      ,     
41,05-1101-48L.S202301,2023-01-05 05:01,  15.648,  -90.905,   2.9,  3.7,     ,  3.7,     ,   4,  0.5, 156,   5.6,   4.7,   6.7, L  ,-,      ,      ,     
42,05-1101-49L.S202301,2023-01-05 05:01,  15.646,  -90.844,   1.2,  2.5,  2.5,     ,     ,   7, 0.52, 113,   2.3,   1.8,  2.4 , L  ,-,      ,      ,     
43,05-1203-43L.S202301,2023-01-05 06:03,  13.440,  -91.110,  20.0,  3.8,     ,  3.8,     ,  17,  0.4, 268,  24.3,   8.8,  13.4, L  ,-,      ,      ,     
44,05-1203-48L.S202301,2023-01-05 06:03,  13.684,  -91.044,  15.2,  3.0,  3.0,     ,     ,  13, 0.81, 251,   4.2,   2.6,  8.5 , L  ,-,      ,      ,     
45,05-1258-11L.S202301,2023-01-05 06:58,  13.501,  -91.533,   0.0,  3.5,  3.5,     ,     ,  14, 0.69, 271,   4.4,   3.5,  0.0 , L  ,-,      ,      ,     
46,05-1258-12L.S202301,2023-01-05 06:58,  13.541,  -91.460,  16.7,  4.0,     ,  4.0,     ,  31,  0.8, 251,  11.3,   6.7,   9.7, L  ,-,      ,      ,     
47,05-1527-58L.S202301,2023-01-05 09:27,  14.606,  -92.924,  25.0,  4.9,  4.9,     ,     ,  28, 6.14, 307,   8.6,  30.1,   0.0, L  ,-,      ,      ,     
48,05-1722-52L.S202301,2023-01-05 11:22,  12.447,  -87.783,   5.0,  4.0,  4.0,     ,     ,  12, 0.96, 200,   7.5,   3.9,  0.0 , L  ,-,      ,      ,     
49,05-1859-12L.S202301,2023-01-05 12:59,  13.255,  -90.663,   0.0,  3.1,  3.1,     ,     ,   7, 2.86, 266,   5.9,   4.0,  0.0 , L  ,-,      ,      ,     
50,06-0144-29L.S202301,2023-01-05 19:44,  14.588,  -92.270,   7.0,  4.2,  4.2,     ,     ,  32, 0.39, 265,   3.9,   6.6,  3.2 , L  ,-,      ,      ,     
51,06-0523-23L.S202301,2023-01-05 23:23,  13.892,  -91.337,  24.1,  3.0,  3.0,     ,     ,  14, 0.51, 268,   6.2,   4.0,  11.5, L  ,-,      ,      ,     
52,06-0839-21L.S202301,2023-01-06 02:39,  13.076,  -89.696,  14.6,  3.1,  3.1,     ,     ,   9, 0.46, 288,   5.6,   5.1,  6.7 , L  ,-,      ,      ,     
53,06-0944-58L.S202301,2023-01-06 03:44,  14.324,  -92.131,  21.2,  3.5,  3.5,     ,     ,  24, 0.80, 232,   3.1,   3.0,  3.5 , L  ,-,      ,      ,     
54,06-1825-05L.S202301,2023-01-06 12:25,  14.588,  -89.990,   6.0,  3.0,     ,  3.0,     ,  12,  0.7,  96,   8.5,   5.5,  16.7, L  ,-,      ,      ,     
55,07-2332-54L.S202301,2023-01-07 17:32,  13.727,  -91.527,   3.0,  3.4,     ,  3.4,     ,  19,  0.8, 263,  13.2,  10.8,  18.5, L  ,-,      ,      ,     
56,07-2332-56L.S202301,2023-01-07 17:32,  13.679,  -91.641,  24.7,  3.2,  3.2,     ,     ,  15, 0.84, 279,   4.7,   5.4,  17.8, L  ,-,      ,      ,     
57,08-0007-20L.S202301,2023-01-07 18:07,  12.712,  -89.037,   7.3,  3.6,  3.6,     ,     ,  18, 0.53, 219,   4.9,   3.6,  12.5, L  ,-,      ,      ,     
58,08-0554-10L.S202301,2023-01-07 23:54,   9.792,  -85.361,   0.0,  5.0,  5.0,     ,     ,  26, 0.89, 293,   4.0,   5.7,  0.0 , L  ,-,      ,      ,     
59,08-1021-08L.S202301,2023-01-08 04:21,  14.102,  -94.032,   0.0,  4.2,  4.2,     ,     ,  16, 0.64, 311,   8.4,   5.8,  0.0 , L  ,-,      ,      ,     
60,09-0257-05L.S202301,2023-01-08 20:57,  12.915,  -88.972,  22.2,  3.4,  3.4,     ,     ,  13, 0.42, 217,   6.2,   4.4,  11.3, L  ,-,      ,      ,     
61,10-0030-50L.S202301,2023-01-09 18:30,  14.486,  -90.528,  10.3,  2.6,     ,  2.6,     ,   6,  0.4, 188,  63.0,  12.6,  30.4, L  ,-,      ,      ,     
62,10-0035-22L.S202301,2023-01-09 18:35,  14.524,  -90.573,   5.1,  2.1,     ,  2.1,     ,   3,  0.2, 188, 243.9, 910.9, 999.9, L  ,-,      ,      ,     
63,10-0143-43L.S202301,2023-01-09 19:43,  14.539,  -90.557,   7.9,  2.1,     ,  2.1,     ,   6,  0.3, 153,   7.1,   2.7,   7.0, L  ,-,      ,      ,     
64,10-0144-21L.S202301,2023-01-09 19:44,  14.481,  -90.528,   8.8,  2.5,     ,  2.5,     ,   4,  0.2, 204,  58.3,  10.5,  37.8, L  ,-,      ,      ,     
65,10-0649-21L.S202301,2023-01-10 00:49,  13.291,  -89.578,  17.0,  2.8,  2.8,     ,     ,  11, 0.39, 266,  20.6,   5.7,   7.0, L  ,-,      ,      ,     
66,10-0827-47L.S202301,2023-01-10 02:27,  12.127,  -88.184,  25.0,  4.5,  4.5,     ,     ,  20, 1.17, 213,   8.5,   4.1,  0.0 , L  ,-,      ,      ,     
67,10-0842-12L.S202301,2023-01-10 02:42,  11.917,  -88.356,  25.0,  3.7,  3.7,     ,     ,  10, 0.83, 233,  14.5,   7.4,   0.0, L  ,-,      ,      ,     
68,10-0913-13L.S202301,2023-01-10 03:13,  13.606,  -89.858,  15.5,  2.4,  2.4,     ,     ,   8, 0.39, 220,  10.6,   5.5,   6.2, L  ,-,      ,      ,     
