NO,ID,OT,latitude,longitude,DEPTH,MAG,ML,MC,MW,NST,RMS,GAP,lat_e,long_e,dp_e,L,FELT, STRIKE, DIP, RAKE,clasificación
15,02-0501-09R.S202301,2023-01-01 23:01,12.628,-88.2,32.8,3.5,     ,  3.5,     ,5,0.3, 342, 399.1, 367.8, 854.5, R  ,-,      ,      ,     ,subducción interfase
16,02-0552-22L.S202301,2023-01-01 23:52,14.213,-91.24,0.8,3.3,     ,  3.3,     ,9,0.7, 308,  17.9,  32.1,  18.4, L  ,-,      ,      ,     ,cortical
17,02-0552-36L.S202301,2023-01-01 23:52,14.525,-90.521,6.1,2.0,  2.0,     ,     ,6,1.23, 130,   6.0,   4.9,  6.3 , L  ,-,      ,      ,     ,cortical
18,02-0611-12R.S202301,2023-01-02 00:11,13.483,-89.651,81.6,3.0,     ,  3.0,     ,7,0.3, 273,   6.9,   6.1,   5.1, R  ,-,      ,      ,     ,subducción intraplaca
19,02-0611-15L.S202301,2023-01-02 00:11,13.437,-89.602,46.4,2.8,  2.8,     ,     ,14,0.43, 244,  14.7,   5.8,  10.5, L  ,-,      ,      ,     ,subducción interfase
20,02-1138-36L.S202301,2023-01-02 05:38,14.083,-89.713,13.1,2.7,     ,  2.7,     ,6,0.6, 101,   3.8,   4.1,   6.4, L  ,-,      ,      ,     ,cortical
21,02-1138-38L.S202301,2023-01-02 05:38,14.084,-89.708,0.8,2.3,  2.3,     ,     ,9,0.1, 68 ,  3.5 ,  3.1 , 5.4  , L  ,-,      ,      ,     ,cortical
22,02-1414-15L.S202301,2023-01-02 08:14,13.318,-90.303,10.8,3.0,  3.0,     ,     ,10,0.3, 267,  19.6,   8.8,  18.7, L  ,-,      ,      ,     ,cortical
23,02-1414-16L.S202301,2023-01-02 08:14,13.423,-90.285,37.1,3.6,     ,  3.6,     ,17,0.4, 241,   9.2,   5.9, 186.3, L  ,-,      ,      ,     ,subducción interfase
24,02-1429-55L.S202301,2023-01-02 08:29,14.481,-91.32,76.4,3.3,     ,  3.3,     ,13,0.3, 185,  24.9,   9.5,  10.1, L  ,-,      ,      ,     ,subducción intraplaca
25,03-0027-05R.S202301,2023-01-02 18:27,14.658,-92.608,66.3,3.2,  3.2,  3.1,     ,21,0.6, 232,   6.7,   6.0,   9.4, R  ,-,      ,      ,     ,subducción intraplaca
26,03-0118-04L.S202301,2023-01-02 19:18,13.89,-90.502,85.4,2.4,     ,  2.4,     ,16,0.2, 230,  10.0,   4.6,   9.9, L  ,-,      ,      ,     ,subducción intraplaca
27,03-0248-42R.S202301,2023-01-02 20:48,14.545,-92.57,40.9,2.9,     ,  2.9,     ,10,0.6, 243,  13.2,   8.8,  22.6, R  ,-,      ,      ,     ,subducción interfase
28,03-0539-04L.S202301,2023-01-02 23:39,13.59,-91.01,10.2,2.6,  2.6,     ,     ,19,0.7, 256,   5.6,   2.8,  7.9 , L  ,-,      ,      ,     ,cortical
29,03-0539-05L.S202301,2023-01-02 23:39,13.694,-90.88,27.5,3.4,     ,  3.4,     ,10,0.1, 322,   3.8,   3.4,   2.1, L  ,-,      ,      ,     ,subducción interfase
30,03-0823-49L.S202301,2023-01-03 02:23,13.448,-89.932,45.3,3.5,     ,  3.5,     ,6,0.3, 267,  18.7,   9.9,  20.8, L  ,-,      ,      ,     ,subducción interfase
31,03-0851-48L.S202301,2023-01-03 02:51,13.982,-91.582,19.0,3.2,     ,  3.2,     ,18,0.5, 259,  10.6,   3.9,  11.3, L  ,-,      ,      ,     ,cortical
32,03-0941-19L.S202301,2023-01-03 03:41,17.093,-91.61,16.8,3.9,     ,  3.9,     ,7,0.6, 244,   8.5,   5.0,   8.4, L  ,-,      ,      ,     ,cortical
33,03-1030-54L.S202301,2023-01-03 04:30,17.13,-91.561,90.4,3.7,     ,  3.7,     ,4,0.4, 249,   8.0,   5.0,  18.7, L  ,-,      ,      ,     ,subducción intraplaca
34,03-1150-10L.S202301,2023-01-03 05:50,14.641,-92.303,6.5,4.1,     ,  4.1,     ,7,0.3, 295,  58.9,   3.9,   0.0, L  ,-,      ,      ,     ,cortical
35,03-1320-44L.S202301,2023-01-03 07:20,14.368,-90.445,1.0,1.5,     ,  1.5,     ,4,0.5, 226,   7.4,   5.8,  16.5, L  ,-,      ,      ,     ,cortical
36,03-1355-59L.S202301,2023-01-03 07:55,12.859,-90.175,0.8,4.8,  4.8,     ,     ,36,1.0, 219,   3.2,   2.0,  3.8 , L  ,-,      ,      ,     ,cortical
37,03-1356-01R.S202301,2023-01-03 07:56,13.052,-90.221,17.2,4.5,  4.5,  4.2,     ,32,0.7, 256,   8.0,   5.9,   8.2, R  ,0,      ,      ,     ,cortical
38,03-1405-24L.S202301,2023-01-03 08:05,11.815,-86.921,22.5,4.7,  4.7,     ,     ,18,0.93, 188,   7.8,   6.1,  21.5, L  ,-,      ,      ,     ,cortical
39,03-1405-48R.S202301,2023-01-03 08:05,13.058,-88.36,43.3,4.4,     ,  4.4,     ,14,0.7, 329,  24.9,  17.6,  16.2, R  ,-,      ,      ,     ,subducción interfase
40,03-1449-21R.S202301,2023-01-03 08:49,13.788,-89.298,1.0,3.4,     ,  3.4,     ,6,0.6, 233,   6.5,  13.0,  14.2, R  ,-,      ,      ,     ,cortical
41,04-0022-53L.S202301,2023-01-03 18:22,13.919,-91.631,71.9,3.5,     ,  3.5,     ,11,0.5, 340,  19.4,  15.0,  13.4, L  ,-,      ,      ,     ,subducción intraplaca
42,04-0022-57L.S202301,2023-01-03 18:22,13.938,-91.542,17.7,3.3,  3.3,     ,     ,23,1.81, 237,   4.5,   2.6,  6.1 , L  ,-,      ,      ,     ,cortical
43,04-0115-35L.S202301,2023-01-03 19:15,16.201,-90.767,1.1,3.5,     ,  3.5,     ,4,0.8, 254,   9.7,   5.7,   9.3, L  ,-,      ,      ,     ,cortical
44,04-0222-55L.S202301,2023-01-03 20:22,13.987,-92.138,65.8,4.0,     ,  4.0,     ,7,0.2, 298,  11.8,   8.0,  22.9, L  ,-,      ,      ,     ,subducción intraplaca
45,04-0243-26L.S202301,2023-01-03 20:43,13.582,-90.975,4.7,3.8,     ,  3.8,     ,8,0.5, 313,  69.3,   5.0,   0.0, L  ,-,      ,      ,     ,cortical
46,04-0329-00L.S202301,2023-01-03 21:29,13.53,-91.467,7.2,4.0,     ,  4.0,     ,8,0.5, 288,  10.5,   9.9,  15.6, L  ,-,      ,      ,     ,cortical
47,04-0513-11R.S202301,2023-01-03 23:13,14.693,-92.229,69.9,2.9,     ,  2.9,     ,12,0.4, 215,  11.8,   8.2,   8.8, R  ,-,      ,      ,     ,subducción intraplaca
48,04-0515-11R.S202301,2023-01-03 23:15,13.361,-89.164,62.8,3.5,     ,  3.5,     ,8,0.5, 314,   7.4,   7.9,   7.5, R  ,-,      ,      ,     ,subducción intraplaca
49,04-0523-37L.S202301,2023-01-03 23:23,13.417,-90.948,27.8,3.5,     ,  3.5,     ,30,0.8, 234,   6.4,   4.9,   5.1, L  ,-,      ,      ,     ,subducción interfase
50,04-0523-38L.S202301,2023-01-03 23:23,13.382,-91.024,14.0,3.1,  3.1,     ,     ,21,0.83, 256,   5.7,   3.7,  12.7, L  ,-,      ,      ,     ,cortical
51,04-0722-19R.S202301,2023-01-04 01:22,12.652,-89.365,26.1,3.6,     ,  3.6,     ,9,0.6, 321,   8.0,  14.7,   8.6, R  ,-,      ,      ,     ,subducción interfase
52,04-1028-34L.S202301,2023-01-04 04:28,14.86,-91.455,26.0,2.8,  2.8,     ,     ,10,1.02, 150,   6.5,  11.6,  18.3, L  ,-,      ,      ,     ,subducción interfase
53,04-1115-12R.S202301,2023-01-04 05:15,13.053,-88.767,39.2,3.7,     ,  3.7,     ,6,0.6, 331,  22.1,  11.3,  11.2, R  ,-,      ,      ,     ,subducción interfase
54,04-1530-04L.S202301,2023-01-04 09:30,14.283,-91.171,61.0,3.5,  3.5,     ,     ,18,3.21, 152,   3.1,   1.9,  3.9 , L  ,-,      ,      ,     ,subducción intraplaca
55,04-2021-30R.S202301,2023-01-04 14:21,15.695,-93.735,36.0,3.1,  3.1,  4.2,     ,6,1.1, 159,  33.0,   6.9, 999.9, R  ,-,      ,      ,     ,subducción interfase
56,04-2114-24L.S202301,2023-01-04 15:14,13.945,-91.511,52.5,3.2,     ,  3.2,     ,21,0.3, 266,  11.6,   4.0,  21.7, L  ,-,      ,      ,     ,subducción interfase
57,04-2114-26L.S202301,2023-01-04 15:14,13.995,-91.505,34.2,3.2,  3.2,     ,     ,8,0.09, 272,  32.1,  12.6,  40.8, L  ,-,      ,      ,     ,subducción interfase
58,04-2251-14L.S202301,2023-01-04 16:51,14.175,-91.718,64.5,3.1,     ,  3.1,     ,18,0.6, 174,   9.7,   7.6,   9.9, L  ,-,      ,      ,     ,subducción intraplaca
59,04-2251-18L.S202301,2023-01-04 16:51,14.232,-91.585,11.9,3.2,  3.2,     ,     ,10,0.5, 250,  10.8,   7.1,  11.7, L  ,-,      ,      ,     ,cortical
60,05-0435-49L.S202301,2023-01-04 22:35,14.311,-89.73,3.6,3.1,     ,  3.1,     ,5,0.5, 184,   5.6,   2.7,   5.1, L  ,-,      ,      ,     ,cortical
61,05-0435-52L.S202301,2023-01-04 22:35,14.639,-89.973,1.4,1.5,  1.5,     ,     ,6,0.44, 153,   4.4,   3.6,  7.4 , L  ,-,      ,      ,     ,cortical
62,05-0437-01L.S202301,2023-01-04 22:37,14.587,-89.941,13.5,2.5,     ,  2.5,     ,4,0.2, 237,   1.5,   3.6,   6.9, L  ,-,      ,      ,     ,cortical
63,05-0438-04L.S202301,2023-01-04 22:38,14.591,-89.992,5.9,4.0,  4.0,  3.9,     ,48,0.9,  55,   3.2,   2.4,   5.9, L  ,2,      ,      ,     ,cortical
64,05-0438-05L.S202301,2023-01-04 22:38,14.574,-89.98,0.0,4.0,  4.0,     ,     ,32,0.52, 51 ,  1.7 ,  1.0 , 0.0  , L  ,-,      ,      ,     ,cortical
65,05-0440-35L.S202301,2023-01-04 22:40,14.652,-89.965,2.5,2.1,  2.1,     ,     ,9,0.39, 154,   2.8,   1.5,  3.2 , L  ,-,      ,      ,     ,cortical
66,05-0441-40L.S202301,2023-01-04 22:41,14.614,-89.973,2.6,1.7,  1.7,     ,     ,7,0.26, 125,   2.3,   1.6,  3.5 , L  ,-,      ,      ,     ,cortical
67,05-0446-37L.S202301,2023-01-04 22:46,14.604,-89.927,13.8,2.5,     ,  2.5,     ,4,0.1, 236,   1.2,   2.1,   2.6, L  ,-,      ,      ,     ,cortical
68,05-0446-38L.S202301,2023-01-04 22:46,14.621,-89.976,1.0,1.8,  1.8,     ,     ,8,0.4, 126,   2.1,   1.5,  3.4 , L  ,-,      ,      ,     ,cortical
69,05-0455-46L.S202301,2023-01-04 22:55,14.105,-93.285,84.7,4.2,     ,  4.2,     ,8,0.4, 289,   6.5,  10.3,  25.7, L  ,-,      ,      ,     ,subducción intraplaca
70,05-0504-29R.S202301,2023-01-04 23:04,14.614,-89.979,7.0,2.7,     ,  2.7,     ,19,0.9, 104,   4.8,   3.4,   9.2, R  ,-,      ,      ,     ,cortical
71,05-0504-30L.S202301,2023-01-04 23:04,14.617,-89.975,2.2,2.5,  2.5,     ,     ,14,0.42, 71 ,  1.6 ,  1.2 , 2.4  , L  ,-,      ,      ,     ,cortical
